date,Size USD,Closed PnL,Sentiment Value,Sentiment Class,Trade Count
2025-03-10,16811790.68,-10010.027269999999,20,Extreme Fear,2911
2025-03-11,14016952.09,-76880.729036,24,Extreme Fear,3286
2025-03-12,18618139.15,288105.984215,34,Fear,3968
2025-03-13,3285591.22,14114.870873,45,Neutral,962
2025-03-14,8047187.16,68646.160089,27,Fear,2210
2025-03-15,2355749.54,78694.624572,46,Neutral,261
2025-03-16,10187921.51,-7910.943544999999,30,Fear,530
2025-03-17,3592895.05,26163.906513,32,Fear,920
2025-03-18,4050655.47,72322.788824,34,Fear,834
2025-03-19,4598813.57,29374.682341,32,Fear,1612
2025-03-20,1652257.93,10246.859436,49,Neutral,771
2025-03-21,2543903.39,6951.270374,31,Fear,698
2025-03-22,971809.42,12498.535254,32,Fear,535
2025-03-23,2593519.67,14047.421585,30,Fear,447
2025-03-24,3017587.05,107878.961301,45,Neutral,1027
2025-03-25,5372519.77,32030.90678,46,Neutral,791
2025-03-26,7597754.37,15802.167427,47,Neutral,3102
2025-03-27,3240279.46,58825.359221,40,Fear,785
2025-03-28,1483092.61,21337.179335,44,Fear,728
2025-03-29,3668151.83,12098.872931,26,Fear,1894
2025-03-30,2850874.96,15795.11514,32,Fear,568
2025-03-31,2164772.4699999997,6978.184557,34,Fear,495
2025-04-01,704445.1900000001,-2202.6622420000003,34,Fear,192
2025-04-02,3867930.6,202212.740938,44,Fear,1076
2025-04-03,8670233.15,-2365.961276,25,Fear,1748
2025-04-04,3835545.73,-25515.678949999998,28,Fear,1272
2025-04-05,1267564.22,35907.33771,30,Fear,360
2025-04-06,3551252.06,47053.449272,34,Fear,1048
2025-04-07,14460253.14,34527.370305,23,Extreme Fear,2814
2025-04-08,8869391.4,34899.394798,24,Extreme Fear,943
2025-04-09,28556806.47,43120.444797,18,Extreme Fear,3967
2025-04-10,28741953.29,158261.822261,39,Fear,2127
2025-04-11,11319327.07,126406.479081,25,Fear,1096
2025-04-12,55914617.49,410419.694533,43,Fear,2109
2025-04-13,14171154.79,48696.021521,45,Neutral,1321
2025-04-14,13079972.98,45680.443063,31,Fear,890
2025-04-15,20752168.24,72357.706282,38,Fear,1131
2025-04-16,36502715.9,58631.730257,29,Fear,1608
2025-04-17,2604551.51,5427.919886,30,Fear,1031
2025-04-18,24610650.46,4880.4047439999995,33,Fear,1894
2025-04-19,32706462.71,71950.577495,32,Fear,2786
2025-04-20,12126094.05,25060.341936,37,Fear,1982
2025-04-21,42104054.84,34369.267906999994,39,Fear,1718
2025-04-22,33753625.24,58652.763578,47,Neutral,2998
2025-04-23,30682443.79,-419020.225731,72,Greed,6159
2025-04-24,35088918.64,50704.395965,63,Greed,2232
2025-04-25,27749455.78,20218.859206,60,Greed,1653
2025-04-26,11948127.77,-4125.753942,65,Greed,1131
2025-04-27,487537.69,2702.067468,61,Greed,337
2025-04-28,26124921.49,36906.813759,54,Neutral,1379
2025-04-29,34089511.66,125749.613427,60,Greed,2243
2025-04-30,12693878.85,14003.797269,56,Greed,1113
2025-05-01,10720240.52,54536.829297000004,53,Neutral,1230
